ebird_kodu,bizim_bilimsel_ad,birdnet_bilimsel_ad,turkce_ad
reebun,Emberiza schoeniclus,Emberiza schoeniclus,Bataklık Çintesi
comgre,Tringa nebularia,Tringa nebularia,Yeşilbacak
woolar1,Lullula arborea,Lullula arborea,Orman Toygarı
eutspa,Passer montanus,Passer montanus,Ağaç Serçesi
watrai1,Rallus aquaticus,Rallus aquaticus,Sukılavuzu
squher1,Ardeola ralloides,Ardeola ralloides,Alaca Balıkçıl
comcuc,Cuculus canorus,Cuculus canorus,Guguk
mutswa,Cygnus olor,Cygnus olor,Kuğu
shttre1,Certhia brachydactyla,Certhia brachydactyla,Bahçe Tırmaşıkkuşu
grswoo,Dendrocopos major,Dendrocopos major,Orman Alaca Ağaçkakanı
tufduc,Aythya fuligula,Aythya fuligula,Tepeli Patka
purher1,Ardea purpurea,Ardea purpurea,Erguvani Balıkçıl
eugori2,Oriolus oriolus,Oriolus oriolus,Sarıasma
dunnoc1,Prunella modularis,Prunella modularis,Dağbülbülü
cowpig1,Columba palumbus,Columba palumbus,Tahtalı
ortbun1,Emberiza hortulana,Emberiza hortulana,Kirazkuşu
colfly1,Ficedula albicollis,Ficedula albicollis,Halkalı Sinekkapan
brambl,Fringilla montifringilla,Fringilla montifringilla,Dağ İspinozu
coatit2,Periparus ater,Periparus ater,Çam Baştankarası
fieldf,Turdus pilaris,Turdus pilaris,Tarla Ardıcı
comsan,Actitis hypoleucos,Actitis hypoleucos,Dere Düdükçünü
eupfly1,Ficedula hypoleuca,Ficedula hypoleuca,Kara Sinekkapan
bkwsti,Himantopus himantopus,Himantopus himantopus,Uzunbacak
eurser1,Serinus serinus,Serinus serinus,Küçük İskete
norlap,Vanellus vanellus,Vanellus vanellus,Kızkuşu
martit2,Poecile palustris,Poecile palustris,Kayın Baştankarası
redwin,Turdus iliacus,Turdus iliacus,Kızıl Ardıç
miswoo1,Dendrocoptes medius,Dendrocoptes medius,Ortanca Ağaçkakan
gyfwoo1,Picus canus,Picus canus,Küçük Yeşil Ağaçkakan
crelar1,Galerida cristata,Galerida cristata,Tepeli Toygar
bkbplo,Pluvialis squatarola,Pluvialis squatarola,Gümüş Yağmurcun
euptit1,Remiz pendulinus,Remiz pendulinus,Çulhakuşu
eurlin1,Linaria cannabina,Linaria cannabina,Ketenkuşu
thrnig1,Luscinia luscinia,Luscinia luscinia,Benekli Bülbül
eursco1,Otus scops,Otus scops,İshakkuşu
eurnig1,Caprimulgus europaeus,Caprimulgus europaeus,Çobanaldatan
corplo,Charadrius hiaticula,Charadrius hiaticula,Halkalı Cılıbıt
sedwar1,Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,Kındıra Kamışçını
retpip,Anthus cervinus,Anthus cervinus,Kızıl Gerdanlı İncirkuşu
marwar3,Acrocephalus palustris,Acrocephalus palustris,Çalı Kamışçını
gadwal,Mareca strepera,Mareca strepera,Boz Ördek
bcnher,Nycticorax nycticorax,Nycticorax nycticorax,Gece Balıkçılı
eurcur,Numenius arquata,Numenius arquata,Kervançulluğu
garwar1,Sylvia borin,Sylvia borin,Boz Ötleğen
eugplo,Pluvialis apricaria,Pluvialis apricaria,Altın Yağmurcun
comcra,Grus grus,Grus grus,Turna
loeowl,Asio otus,Asio otus,Kulaklı Orman Baykuşu
gragoo,Anser anser,Anser anser,Boz Kaz
tawowl1,Strix aluco,Strix aluco,Alaca Baykuş
eurwry,Jynx torquilla,Jynx torquilla,Boyunçeviren
whoswa,Cygnus cygnus,Cygnus cygnus,Ötücü Kuğu
yellow2,Emberiza citrinella,Emberiza citrinella,Sarı Çinte
webowl1,Tyto alba,Tyto alba,Peçeli Baykuş
comqua1,Coturnix coturnix,Coturnix coturnix,Bıldırcın
grebit1,Botaurus stellaris,Botaurus stellaris,Balaban
eurwoo,Scolopax rusticola,Scolopax rusticola,Çulluk
spocra1,Porzana porzana,Porzana porzana,Benekli Suyelvesi
callar1,Melanocorypha calandra,Melanocorypha calandra,Boğmaklı Toygar
gwfgoo,Anser albifrons,Anser albifrons,Sakarca
rinouz1,Turdus torquatus,Turdus torquatus,Boğmaklı Ardıç
bearee1,Panurus biarmicus,Panurus biarmicus,Bıyıklı Baştankara
blueth,Luscinia svecica,Luscinia svecica,Mavigerdan
savwar1,Locustella luscinioides,Locustella luscinioides,Bataklık Kamışçını
ictwar1,Hippolais icterina,Hippolais icterina,Sarı Mukallit
litter1,Sternula albifrons,Sternula albifrons,Küçük Sumru
euhgul1,Larus argentatus,Larus argentatus,Kuzey Gümüş Martısı
humwar1,Phylloscopus humei,Phylloscopus humei,Ak Kaşlı Çıvgın
comros,Carpodacus erythrinus,Carpodacus erythrinus,Çütre
rudtur,Arenaria interpres,Arenaria interpres,Taşçeviren
euroys1,Haematopus ostralegus,Haematopus ostralegus,Poyrazkuşu
redcro,Loxia curvirostra,Loxia curvirostra,Çaprazgaga
whimbr5,Numenius phaeopus,Numenius phaeopus,Sürmeli Kervançulluğu
