ebird_kodu,bilimsel_ad,turkce_ad,ingilizce_ad,gbif_kayit,gbif_species_key,durum,gerekce,ay_01,ay_02,ay_03,ay_04,ay_05,ay_06,ay_07,ay_08,ay_09,ay_10,ay_11,ay_12
rolhaw,Buteo lagopus,Paçalı Şahin,Rough-legged Hawk,67,2480524,dahil,,10,13,12,8,0,0,0,0,0,1,12,11
comros,Carpodacus erythrinus,Çütre,Common Rosefinch,65,2494459,dahil,,0,0,0,0,18,42,4,0,1,0,0,0
deswhe1,Oenanthe deserti,Çöl Kuyrukkakanı,Desert Wheatear,64,5231244,dahil,,26,0,0,0,0,0,0,0,0,0,2,36
,Bubulcus ibis,,,63,2480830,elendi,eBird taksonomisinde eslesmedi,,,,,,,,,,,,
rudtur,Arenaria interpres,Taşçeviren,Ruddy Turnstone,63,2481776,dahil,,0,0,1,5,25,0,0,3,23,4,0,2
euroys1,Haematopus ostralegus,Poyrazkuşu,Eurasian Oystercatcher,63,7788295,dahil,,1,0,12,7,19,1,6,7,10,0,0,0
redcro,Loxia curvirostra,Çaprazgaga,Red Crossbill,62,9629160,dahil,,0,2,6,1,1,0,2,0,33,13,4,0
parjae,Stercorarius parasiticus,Korsanmartı,Parasitic Jaeger,59,2481621,dahil,,7,9,6,7,3,0,0,2,5,2,7,11
rebgoo1,Branta ruficollis,Sibirya Kazı,Red-breasted Goose,55,5232451,dahil,,19,15,0,0,0,0,0,0,0,0,21,0
horgre,Podiceps auritus,Kulaklı Batağan,Horned Grebe,51,2482059,dahil,,22,3,7,2,0,0,0,0,0,0,0,17
cinvul1,Aegypius monachus,Kara Akbaba,Cinereous Vulture,50,5229165,dahil,,24,0,1,10,1,1,0,0,2,11,0,0
sheowl,Asio flammeus,Kır Baykuşu,Short-eared Owl,49,2497295,dahil,,6,2,3,0,2,0,0,0,5,24,6,1
elefal1,Falco eleonorae,Ada Doğanı,Eleonora's Falcon,47,2481037,dahil,,0,0,0,0,8,8,2,16,11,2,0,0
jacsni,Lymnocryptes minimus,Küçük Suçulluğu,Jack Snipe,47,2481835,dahil,,11,1,6,4,7,0,0,0,0,6,3,9
bkskit1,Elanus caeruleus,Ak Çaylak,Black-winged Kite,46,2480372,dahil,,0,0,0,0,0,0,28,18,0,0,0,0
chukar,Alectoris chukar,Kınalı Keklik,Chukar,44,2474029,dahil,,2,4,4,4,3,1,0,5,5,5,2,3
mouwar1,Acrocephalus melanopogon,Bıyıklı Kamışçın,Moustached Warbler,44,2493124,dahil,,1,5,2,3,6,0,0,0,0,6,0,21
comeid,Somateria mollissima,Pufla,Common Eider,41,2498352,dahil,,3,22,0,5,0,0,0,0,4,0,3,4
whimbr5,Numenius phaeopus,Sürmeli Kervançulluğu,Eurasian Whimbrel,40,2481784,dahil,,0,0,9,24,1,0,0,3,3,0,0,0
rengre,Podiceps grisegena,Kızıl Boyunlu Batağan,Red-necked Grebe,35,2482051,dahil,,5,12,8,0,0,0,0,1,5,0,0,4
,Sylvia crassirostris,,,35,7342065,elendi,eBird taksonomisinde eslesmedi,,,,,,,,,,,,
litbus1,Tetrax tetrax,Mezgeldek,Little Bustard,33,5228228,dahil,,1,0,0,0,0,0,0,0,0,0,6,26
sibsto1,Saxicola maurus,Sibirya Taşkuşu,Siberian Stonechat,33,5846290,dahil,,0,0,5,4,1,0,0,0,0,23,0,0
bklkit,Rissa tridactyla,Kara Ayaklı Martı,Black-legged Kittiwake,32,2481205,dahil,,3,4,1,1,0,0,0,0,0,1,10,12
batgod,Limosa lapponica,Kıyı Çamurçulluğu,Bar-tailed Godwit,31,2481681,dahil,,1,1,0,7,3,0,0,0,9,9,0,1
eutkne1,Burhinus oedicnemus,Kocagöz,Eurasian Thick-knee,29,2482100,elendi,Istanbul'da yalnizca 29 kayit (esik 30),,,,,,,,,,,,
laplon,Calcarius lapponicus,Mahmuzlu Çinte,Lapland Longspur,29,2491678,elendi,Istanbul'da yalnizca 29 kayit (esik 30),,,,,,,,,,,,
gresni1,Gallinago media,Büyük Suçulluğu,Great Snipe,28,2481831,elendi,Istanbul'da yalnizca 28 kayit (esik 30),,,,,,,,,,,,
eurwar2,Locustella fluviatilis,Ağaç Kamışçını,River Warbler,27,2493549,elendi,Istanbul'da yalnizca 27 kayit (esik 30),,,,,,,,,,,,
corcra,Crex crex,Bıldırcınkılavuzu,Corn Crake,27,4408498,elendi,Istanbul'da yalnizca 27 kayit (esik 30),,,,,,,,,,,,
gresca,Aythya marila,Karabaş Patka,Greater Scaup,26,2498265,elendi,Istanbul'da yalnizca 26 kayit (esik 30),,,,,,,,,,,,
easwar1,Curruca cantillans,Bıyıklı Ötleğen,Eastern Subalpine Warbler,26,9317615,elendi,Istanbul'da yalnizca 26 kayit (esik 30),,,,,,,,,,,,
,Sylvia melanocephala,,,24,2492962,elendi,Istanbul'da yalnizca 24 kayit (esik 30),,,,,,,,,,,,
manduc,Aix galericulata,Mandarin Ördeği,Mandarin Duck,23,2498388,elendi,Istanbul'da yalnizca 23 kayit (esik 30),,,,,,,,,,,,
grscuc1,Clamator glandarius,Tepeli Guguk,Great Spotted Cuckoo,22,2496464,elendi,Istanbul'da yalnizca 22 kayit (esik 30),,,,,,,,,,,,
,Accipiter brevipes,,,21,2480578,elendi,Istanbul'da yalnizca 21 kayit (esik 30),,,,,,,,,,,,
retloo,Gavia stellata,Kızıl Gerdanlı Dalgıç,Red-throated Loon,21,2481958,elendi,Istanbul'da yalnizca 21 kayit (esik 30),,,,,,,,,,,,
spwlap1,Vanellus spinosus,Mahmuzlu Kızkuşu,Spur-winged Lapwing,21,5229142,elendi,Istanbul'da yalnizca 21 kayit (esik 30),,,,,,,,,,,,
musduc,Cairina moschata,Moskof Ördeği,Muscovy Duck,21,9751099,elendi,evcil misk ordegi,,,,,,,,,,,,
yebwar3,Phylloscopus inornatus,Sarı Kaşlı Çıvgın,Yellow-browed Warbler,20,2493095,elendi,Istanbul'da yalnizca 20 kayit (esik 30),,,,,,,,,,,,
commer,Mergus merganser,Büyük Tarakdiş,Common Merganser,20,9537647,elendi,Istanbul'da yalnizca 20 kayit (esik 30),,,,,,,,,,,,
goleag,Aquila chrysaetos,Kaya Kartalı,Golden Eagle,17,2480506,elendi,Istanbul'da yalnizca 17 kayit (esik 30),,,,,,,,,,,,
wooduc,Aix sponsa,Orman Ördeği,Wood Duck,17,2498387,elendi,Istanbul'da yalnizca 17 kayit (esik 30),,,,,,,,,,,,
batlar1,Ammomanes cinctura,Küçük Çöl Toygarı,Bar-tailed Lark,17,7340809,elendi,Istanbul'da yalnizca 17 kayit (esik 30),,,,,,,,,,,,
dalpel1,Pelecanus crispus,Tepeli Pelikan,Dalmatian Pelican,16,2480353,elendi,Istanbul'da yalnizca 16 kayit (esik 30),,,,,,,,,,,,
carcro1,Corvus corone,Kara Leş Kargası,Carrion Crow,16,9409796,elendi,Istanbul'da yalnizca 16 kayit (esik 30),,,,,,,,,,,,
swagoo1,Anser cygnoides,Çin Kazı,Swan Goose,15,2498034,elendi,Istanbul'da yalnizca 15 kayit (esik 30),,,,,,,,,,,,
blksco1,Melanitta nigra,Kara Ördek,Common Scoter,15,2498247,elendi,Istanbul'da yalnizca 15 kayit (esik 30),,,,,,,,,,,,
redjun,Gallus gallus,Yaban Tavuğu,Red Junglefowl,15,9326020,elendi,evcil tavuk,,,,,,,,,,,,
pomjae,Stercorarius pomarinus,Küt Kuyruklu Korsanmartı,Pomarine Jaeger,14,2481609,elendi,Istanbul'da yalnizca 14 kayit (esik 30),,,,,,,,,,,,
